Category_Character;Category_Name;Group_Number;Group_Name;Disease;OMIM;OMIM.link;HPO.link;Gene;Function;Incidence;Artefact disclaimer;Metabolite;HMDB.code;HMDB.link;M/z;Isobaric_compounds;Isobaric_Compounds_Names;Biomarker_PathwayPosition_BodyFluid;Biomarker_PathwayPosition_BodyFluid_Weight;Change;Change_Weight;Importance;Importance_Weight;Total_Weight;Absolute_Weight;Dispensability;Zscore_Cutoff;Diagnosis_Blood
A;Disorders of nitrogen-containing compounds;1;Disorders of pyrimidine metabolism;Uridine monophosphate synthase deficiency;258900;https://omim.org/entry/258900;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:258900;UMPS;Enzyme;Estimated ~20 cases;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;1;Disorders of pyrimidine metabolism;Uridine monophosphate synthase deficiency;258900;https://omim.org/entry/258900;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:258900;UMPS;Enzyme;Estimated ~20 cases;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Plasma;2;Increase;1;Critical;5;10;10;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;1;Disorders of pyrimidine metabolism;Uridine monophosphate synthase deficiency;258900;https://omim.org/entry/258900;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:258900;UMPS;Enzyme;Estimated ~20 cases;No possible artefacts to report;Orotic acid;HMDB00226;http://www.hmdb.ca/metabolites/HMDB00226;156.0963;No;NA;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;1;Disorders of pyrimidine metabolism;Uridine monophosphate synthase deficiency;258900;https://omim.org/entry/258900;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:258900;UMPS;Enzyme;Estimated ~20 cases;No possible artefacts to report;Uridine monophosphate;HMDB00288;http://www.hmdb.ca/metabolites/HMDB00288;324.1813;Yes;"3'-UMP; Uridine 2'-phosphate ; Pseudouridine 5'-phosphate";Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;5-Amino-4-imidazolecarboxamide ribsosiduria;608688;https://omim.org/entry/608688;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:608688;ATIC;Enzyme;Estimated ~3 cases;No possible artefacts to report;AICAR;HMDB01517;http://www.hmdb.ca/metabolites/HMDB01517;338.2112;No;NA;Substrate;3;Increase;1;Critical;5;15;15;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;5-Amino-4-imidazolecarboxamide ribsosiduria;608688;https://omim.org/entry/608688;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:608688;ATIC;Enzyme;Estimated ~3 cases;No possible artefacts to report;AICAR;HMDB01517;http://www.hmdb.ca/metabolites/HMDB01517;338.2112;No;NA;CSF;2;Increase;1;Critical;5;10;10;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;5-Amino-4-imidazolecarboxamide ribsosiduria;608688;https://omim.org/entry/608688;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:608688;ATIC;Enzyme;Estimated ~3 cases;No possible artefacts to report;AICAR;HMDB01517;http://www.hmdb.ca/metabolites/HMDB01517;338.2112;No;NA;Urine;1;Increase;1;Critical;5;5;5;Indispensable;3.0;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;5-Amino-4-imidazolecarboxamide ribsosiduria;608688;https://omim.org/entry/608688;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:608688;ATIC;Enzyme;Estimated ~3 cases;No possible artefacts to report;Inosine monophosphate;HMDB11681;http://www.hmdb.ca/metabolites/HMDB11681;348.206;Yes;Inosinic acid;Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenine phosphoribosyltransferase deficiency;614723;https://omim.org/entry/614723;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:614723;APRT;Enzyme;Estimated 1:50,000-1:100,000;No possible artefacts to report;Adenine;HMDB00034;http://www.hmdb.ca/metabolites/HMDB00034;135.1267;No;NA;Substrate;3;Increase;1;Important influence;3;9;9;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenine phosphoribosyltransferase deficiency;614723;https://omim.org/entry/614723;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:614723;APRT;Enzyme;Estimated 1:50,000-1:100,000;No possible artefacts to report;Adenosine monophosphate;HMDB00045;http://www.hmdb.ca/metabolites/HMDB00045;347.2212;Yes;"3'-AMP; Adenosine 2'-phosphate; 2'-Deoxyguanosine 5'-monophosphate; 2-hydroxy-dAMP";Product;3;Decrease;-1.5;Supportive;1;-4.5;4.5;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenine phosphoribosyltransferase deficiency;614723;https://omim.org/entry/614723;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:614723;APRT;Enzyme;Estimated 1:50,000-1:100,000;No possible artefacts to report;Adenine;HMDB00034;http://www.hmdb.ca/metabolites/HMDB00034;135.1267;No;NA;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
A;Disorders of nitrogen-containing compounds;2;Disorders of purine metabolism;Adenine phosphoribosyltransferase deficiency;614723;https://omim.org/entry/614723;http://compbio.charite.de/hpoweb/showterm?id=HP:0000118#disease=OMIM:614723;APRT;Enzyme;Estimated 1:50,000-1:100,000;No possible artefacts to report;2,8-Dihydroxyadenine;HMDB00401;http://www.hmdb.ca/metabolites/HMDB00401;167.1255;Yes;8-Hydroxyguanine;Urine;1;Increase;1;Important influence;3;3;3;Dispensable;;Yes
