HMDB_code	HMDB_name
HMDB01051	Glyceraldehyde
HMDB01882	Dihydroxyacetone
HMDB00267	Pyroglutamic acid
HMDB00805	Pyrrolidonecarboxylic acid
HMDB60262	5-Oxoprolinate
HMDB00190	L-Lactic acid
HMDB00700	Hydroxypropionic acid
HMDB00131	Glycerol
HMDB00008	2-Hydroxybutyric acid
HMDB59748	2-Methyl-3-hydroxypropanoate
HMDB02031	Ureidoisobutyric acid
HMDB00711	Hydroxyoctanoic acid
HMDB01552	2-Keto-glutaramic acid
HMDB00451	cis-4-Hydroxycyclohexylacetic acid
HMDB10721	3-Oxooctanoic acid
HMDB13010	N-Heptanoylglycine
HMDB03148	Argininic acid
HMDB00115	Glycolic acid
HMDB00317	2-Hydroxy-3-methylpentanoic acid
HMDB00746	Hydroxyisocaproic acid
HMDB29166	2-Methyl-3-hydroxyvaleric acid
HMDB00671	Indolelactic acid
HMDB00119	Glyoxylic acid
HMDB02203	3-Hydroxycapric acid
