HMDB_code	HMDB_name
HMDB02994	Erythritol; Tetritol
HMDB00283	Ribose; Pentose
HMDB00508	Ribitol; Pentitol
HMDB00174	Fucose
HMDB01473	Dihydroxyacetone phosphate
HMDB00150	Gluconolactone
HMDB30091	Hexosamine
HMDB00122	Glucose; Hexose
HMDB00211	Inositol
HMDB00107	Galactitol; Hexitol
HMDB00565	Galactonic acid
HMDB03219	Sedoheptulose
HMDB33750	Perseitol
HMDB01104	N-Acetyl-glucosaminylamine
HMDB00803	N-acetylhexosamine
HMDB00618	Ribulose 5-phosphate; Pentose-P
HMDB00645	Galactose 1-phosphate; Hexose-P
HMDB05831	Sorbitol 6-phosphate; Hexitol-P
HMDB01068	Sedoheptulose-P
HMDB00814	N-Acetyl-glucosamine 6-sulfate
HMDB01062	N-acetylhexosamine-P
HMDB00230	N-Acetylneuraminic acid
HMDB03514	Glucose 1,6-bisphosphate; Hexose-PP
HMDB00186	Lactose; 2Hexose
HMDB05817	Acetamido-deoxy-O-fucopyranosyl-glucose
HMDB04381	N-Acetylneuraminic acid-P
HMDB00280	Phosphoribosyl pyrophosphate
HMDB01262	Maltotriose; 3Hexose
HMDB00286	UDP-glucose; UDP-hexose
